               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040991,             0.06144,            0.016547,             0.70794,              0.5569,             0.60952,             0.41644,            0.039552,            0.046546,            0.013902,           0.0070016,          0.00033315,          0.00033315
                   1,            0.039468,             0.05972,            0.015535,             0.69007,             0.56539,             0.60894,             0.41649,            0.039356,             0.04673,            0.014079,           0.0039883,          0.00065317,          0.00065317
                   2,            0.039573,            0.059891,             0.01557,             0.69429,             0.55511,             0.60005,             0.41178,            0.039599,            0.046976,            0.014506,          0.00096167,          0.00095987,          0.00095987
                   3,            0.039912,            0.060598,            0.016082,             0.69367,               0.549,             0.60083,             0.41207,            0.039452,            0.046788,             0.01449,          0.00094006,          0.00094006,          0.00094006
                   4,            0.039938,            0.060509,            0.016104,             0.69946,             0.54823,             0.60272,             0.41429,            0.039384,            0.046772,            0.014308,          0.00094006,          0.00094006,          0.00094006
                   5,            0.039889,            0.060463,            0.016016,             0.69123,             0.56261,             0.60705,             0.41852,            0.039154,            0.046751,             0.01415,          0.00092008,          0.00092008,          0.00092008
                   6,            0.039927,            0.060363,            0.015967,             0.68904,             0.56428,             0.60994,              0.4211,             0.03906,             0.04649,            0.014021,           0.0009001,           0.0009001,           0.0009001
                   7,            0.039835,            0.060188,            0.015839,             0.69442,             0.56326,              0.6118,             0.42458,            0.038883,            0.046358,            0.013918,          0.00088012,          0.00088012,          0.00088012
                   8,              0.0397,             0.06013,            0.015725,              0.7037,             0.56161,              0.6139,             0.42696,            0.038775,            0.046277,            0.013851,          0.00086014,          0.00086014,          0.00086014
                   9,            0.039666,            0.060004,            0.015669,             0.70164,             0.56516,             0.61605,             0.42821,            0.038742,            0.046262,            0.013793,          0.00084016,          0.00084016,          0.00084016
                  10,            0.039627,            0.059958,            0.015576,             0.70058,             0.56735,             0.61588,             0.42802,            0.038715,            0.046274,            0.013749,          0.00082018,          0.00082018,          0.00082018
                  11,            0.039556,            0.059965,            0.015512,             0.70303,             0.56568,             0.61572,             0.42797,            0.038685,            0.046274,            0.013715,           0.0008002,           0.0008002,           0.0008002
                  12,            0.039515,            0.059783,            0.015412,             0.70104,             0.56757,             0.61644,             0.42878,            0.038655,            0.046263,            0.013687,          0.00078022,          0.00078022,          0.00078022
                  13,            0.039388,            0.059442,            0.015293,             0.70444,             0.56611,             0.61732,             0.42962,            0.038633,            0.046272,            0.013655,          0.00076024,          0.00076024,          0.00076024
                  14,            0.039309,            0.059615,            0.015325,             0.70304,             0.56887,             0.61831,             0.43015,            0.038609,            0.046275,            0.013637,          0.00074026,          0.00074026,          0.00074026
                  15,            0.039344,            0.059373,            0.015212,             0.71376,             0.56098,             0.61842,             0.42983,            0.038598,            0.046281,            0.013618,          0.00072028,          0.00072028,          0.00072028
