Risk Level,Category,Ticker,Name,Region,Percentage,Expense Ratio,Yield,PE Ratio,Morningstar,1Y,2Y,5Y,10Y,Composition,Note
0.5,Ultrashort Bond,FLOT,iShares Floating Rate Bond ETF,World,,0.16,4.63,-,****,-,-,-,-,477 holdings,
0.5,Ultrashort Bond,SGOV,iShares 0-3 Month Treasury Bond ETF,US,,0.09,3.96,-,***,-,-,-,-,24 holdings,state tax-exempt
1,Large Value,VTV,Vanguard Value Index Fund ETF,US,10%,0.04,2.04,21.47,****,4.73,34.23,59.87,128.26,"317 holdings: JPM,BRK/B,XOM,JNJ,WMT, ABBV,HD,PG,BAC,UNH",low tech exposure
1,Large Value,SCHV,Schwab US Large-Cap Value ETF,US,,0.04,2.04,,****,5.19,33.50,49.27,104.64,"563 holdings, BRK/B,JPM,XOM,JNJ,WMT",Similar to VTV
1,Large Value,SCHD,Schwab US Dividend Equity ETF,US,5%,0.06,3.92,17.51,***,-6.57,15.23,27.10,109.97,"Dow Jones U.S. Dividend 100 Index, 103 holdings, CSCO,ABBV,AMGN,MRK,LMT","low tech exposure, dividend tilt"
1.5,Large Value,FDVV,Fidelity High Dividend ETF,US,5%,0.16,2.81,20.88,*****,8.32,41.39,78.78,128.09,"121 holdings, NVDA,AAPL,MSFT,AVGO,JPM, ABN,V,XOM,BAC,KO",Info tech exposure
1.5,Large Value,FNDX,Schwab Fundamental US Large Company ETF,US,,0.25,1.70,,*****,,,,,"732 holdings, AAPL,MSFT,GOOGL,XOM,GOOG",
1.5,Large Value,VYM,Vanguard High Dividend Yield Index Fund ETF,US,,0.06,2.45,,*****,,,,,"569 holdings, AVGO,JPM,XOM,JNJ,WMT,ABBV,HD,BAC,PG,UNH",
1.5,Large Value,VIG,Vanguard Dividend Appreciation Index Fund ETF,US,,0.06,1.84,,*****,,,,,"290 holdings, MSFT,JNJ,PG,HD,UNH,AAPL,MCD,COST,JPM,BAC",
1.5,Large Value,DGRO,iShares Core Dividend Growth ETF,US,,0.08,2.20,,*****,,,,,"406 holdings, AAPL,JPM,JNJ,MSFT,XOM,ABBV,AVGO,PG,UNH,HD",
1,Large Blend,USMV,iShares MSCI USA Min Vol Factor ETF,US,,0.15,1.44,,**,,,,,"IBM,MCK,COR,APH,XOM,CSCO,JNJ,NVDA,DUK,SO",
1,Large Value,SPLV,Invesco S&P 500 Low Volatility ETF,US,,0.25,2.24,,**,,,,,"ATO,EVRG,WEC,COR,KO,CMS,JNJ,TJX,PPL,CAH",
1,Small Value,AVUV,Avantis US Small Cap Value ETF,US,,0.25,1.57,13.26,****,-4.13,26.40,78.91,102.28,"765 holdings, M,AL,FIVE,GATX,LEU",low tech exposure
1,Small Value,VIOV,Vanguard S&P Small-Cap 600 Value ETF,US,,0.10,1.78,,****,-3.47,24.09,40.30,99.57,"600 holdings, M,AL,FIVE,GATX,LEU",low tech exposure
