               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047959,            0.061176,            0.016555,             0.68046,             0.54941,             0.59288,             0.38285,            0.042982,            0.047264,            0.014867,           0.0070016,          0.00033315,          0.00033315
                   1,            0.041099,            0.058232,            0.014572,             0.69615,             0.54846,             0.59696,             0.39799,            0.041514,            0.047326,            0.014932,           0.0039994,          0.00066427,          0.00066427
                   2,            0.040513,            0.058525,            0.014838,             0.69283,             0.54681,             0.59116,             0.39672,             0.04126,            0.047736,            0.015415,          0.00099496,          0.00099316,          0.00099316
                   3,            0.040732,              0.0599,            0.015695,             0.68738,             0.54407,             0.59057,             0.39749,            0.040852,            0.047308,            0.015138,          0.00099001,          0.00099001,          0.00099001
                   4,            0.040656,            0.060224,            0.015908,              0.6883,             0.55048,             0.59484,             0.40359,            0.040366,            0.047194,            0.014798,          0.00099001,          0.00099001,          0.00099001
                   5,            0.040592,            0.060142,            0.015957,             0.68919,             0.55231,             0.59834,             0.40832,            0.040157,             0.04712,            0.014483,          0.00098668,          0.00098668,          0.00098668
                   6,            0.040574,            0.060197,            0.016087,             0.70537,             0.54963,             0.60311,             0.41216,             0.03992,            0.046819,            0.014321,          0.00098335,          0.00098335,          0.00098335
                   7,            0.040532,            0.060293,            0.015946,             0.70525,             0.55644,             0.60901,             0.41772,            0.039716,            0.046645,            0.014136,          0.00098002,          0.00098002,          0.00098002
                   8,            0.040556,            0.060485,            0.016038,             0.70826,             0.55687,             0.61236,              0.4204,            0.039581,            0.046545,            0.014014,          0.00097669,          0.00097669,          0.00097669
                   9,            0.040529,            0.060376,            0.016096,             0.71093,             0.55717,             0.61252,             0.42115,            0.039498,            0.046511,            0.013974,          0.00097336,          0.00097336,          0.00097336
                  10,            0.040574,            0.060681,            0.016109,             0.69821,             0.56326,             0.61464,             0.42298,            0.039438,            0.046445,            0.013949,          0.00097003,          0.00097003,          0.00097003
                  11,            0.040591,            0.060726,            0.016184,             0.69829,             0.56342,             0.61534,             0.42336,             0.03937,            0.046408,            0.013905,           0.0009667,           0.0009667,           0.0009667
                  12,            0.040517,            0.060495,            0.016137,             0.70237,             0.56182,             0.61552,             0.42437,            0.039322,            0.046376,             0.01388,          0.00096337,          0.00096337,          0.00096337
                  13,            0.040504,            0.060457,            0.016132,             0.70729,             0.56028,             0.61639,             0.42482,             0.03927,            0.046352,            0.013844,          0.00096004,          0.00096004,          0.00096004
                  14,            0.040486,            0.060345,            0.016186,             0.70441,             0.56307,             0.61654,             0.42552,            0.039228,            0.046333,            0.013837,          0.00095671,          0.00095671,          0.00095671
